Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_price,Price,kilometers_driven_log,price_log,Brand,Model
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,5.51,1.75,11.184421397998193,0.5596157879354227,Maruti,Wagon
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,16.06,12.5,10.621327345686446,2.5257286443082556,Hyundai,Creta
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.61,4.5,10.736396675471232,1.5040773967762742,Honda,Jazz
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,11.27,6.0,11.37366339763672,1.791759469228055,Maruti,Ertiga
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,53.14,17.74,10.61324599890127,2.8758219768814333,Audi,A4
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,11.67,2.35,11.225243392518447,0.8544153281560676,Hyundai,EON
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,9.47,3.5,11.373651903317787,1.252762968495368,Nissan,Micra
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,21.0,17.5,10.491274217438248,2.8622008809294686,Toyota,Innova
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,13.23,5.2,11.073334642132687,1.6486586255873816,Volkswagen,Vento
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,11.67,1.95,11.096379186851246,0.6678293725756554,Tata,Indica
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,10.65,9.95,10.153934938377683,2.2975725511705014,Maruti,Ciaz
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,13.58,4.49,11.002099841204238,1.501852701754163,Honda,City
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,7.88,5.6,11.07324151347538,1.7227665977411035,Maruti,Swift
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,120.0,27.0,11.184421397998193,3.295836866004329,Land,Rover
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,18.16,2179.0,115.0,5.0,120.0,17.5,11.350406535472453,2.8622008809294686,Land,Rover
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,32.01,15.0,11.608235644774552,2.70805020110221,Mitsubishi,Pajero
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,8.54,5.4,10.984444905965518,1.6863989535702288,Honda,Amaze
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.88,5.99,10.126631103850338,1.7900914121273581,Maruti,Swift
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,15.05,6.34,11.257633135320098,1.8468787684491346,Renault,Duster
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,49.49,28.0,11.2708539037705,3.332204510175204,Mercedes-Benz,New
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,47.87,18.55,10.403717237088715,2.920469789053444,BMW,3
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,11.67,8.25,10.922190457975935,2.1102132003465894,Maruti,S
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,67.1,23.5,10.932839076694297,3.1570004211501135,Audi,A6
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,10.25,1.87,10.73219219685162,0.6259384308664954,Hyundai,i20
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,13.23,2.85,10.404262840448617,1.0473189942805592,Volkswagen,Vento
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,13.58,4.25,10.857459351377972,1.4469189829363254,Honda,City
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,9.47,4.25,10.896739325546411,1.4469189829363254,Nissan,Micra
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,4.36,2.75,10.896739325546411,1.0116009116784799,Maruti,Alto
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,10.57,9.9,10.530227800898475,2.2925347571405443,Honda,WRV
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,24.01,4.0,12.476099782743233,1.3862943611198906,Toyota,Innova
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,15.05,7.75,11.03488966402723,2.0476928433652555,Renault,Duster
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,21.085,6.75,11.38070749514252,1.9095425048844386,Toyota,Corolla
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,11.67,12.5,11.184421397998193,2.5257286443082556,Mahindra,Ssangyong
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,67.1,11.5,10.46310334047155,2.4423470353692043,Audi,A6
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,12.33,6.98,10.922894283023263,1.9430489167742813,Volkswagen,Vento
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,5.51,1.85,11.3363791990328,0.6151856390902335,Maruti,Wagon
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.12,8.63,10.821277160534018,2.155244505095337,Maruti,Vitara
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,7.88,4.85,10.858998997563564,1.5789787049493917,Mahindra,KUV
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,11.67,28.0,11.350406535472453,3.332204510175204,Mercedes-Benz,M-Class
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,10.15,5.0,11.03488966402723,1.6094379124341003,Volkswagen,Polo
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,4.36,1.25,11.407564949312402,0.22314355131420976,Maruti,Alto
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,11.67,1.53,9.888272386729648,0.4252677354043441,Tata,Nano
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,7.88,5.58,10.000296608464188,1.7191887763932197,Mahindra,KUV
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,10.25,4.74,10.476921711213846,1.556037135706985,Hyundai,i20
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,23.64,8.85,10.744494236334926,2.180417459019838,Hyundai,Elantra
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,21.085,10.11,10.859018228147887,2.3135250330323798,Toyota,Corolla
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,21.77,4.25,10.968284492709508,1.4469189829363254,Hyundai,Elantra
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,18.64,10.95,11.166257427370521,2.3933394562625097,Toyota,Innova
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,8.23,3.85,11.225243392518447,1.3480731482996928,Hyundai,Xcent
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,11.39,5.5,11.235853571630463,1.7047480922384253,Mahindra,Thar
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,53.14,21.43,9.52134826973146,3.064791809485486,Audi,A4
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7.88,4.25,10.858998997563564,1.4469189829363254,Maruti,Swift
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,7.88,3.3,10.87804719253426,1.1939224684724346,Maruti,Swift
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.88,3.85,11.092092879730941,1.3480731482996928,Maruti,Swift
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,7.45,3.6,10.896739325546411,1.2809338454620642,Hyundai,Grand
